Name,Age,Salary,Department,Join_Date
David,58,unknown,Sales ,
Priya123,56,,Marketing ,2021-6-17
Maya ,twenty,,Finance ,
Priya,,,Sales,
Priya ,33,,Marketing ,2020-02-30
Meena,,60604,Marketing,2023-11-11
Emily ,,70k,HR,2020-12-26
Rakesh123,,,Finance ,10/3/2023
Ahmed,twenty,69429,IT ,2021-13-5
John  ,,70k,IT,
Ahmed  ,,,Marketing ,
Sara ,twenty,,IT,
Meena ,,70k,IT,2021-13-21
Priya,,35753,Sales,2020-02-30
Rakesh,,unknown,Sales,9/19/2012
Meena,twenty,44417,Finance ,11/18/2023
David,,,Finance,2020-02-30
Rakesh,, 50000 ,Marketing,
Rakesh ,,unknown,Marketing,
Kevin ,, 50000 ,Finance,
John  ,twenty, 50000 ,Sales ,2/12/2018
David ,,,Sales,
Maya,41,84921,Sales,2020-02-30
David ,,,Finance ,
Maya ,,70k,HR,6/22/2013
Priya  ,,70k,IT,
Meena,twenty,85019,Sales,2020-9-1
Kevin  ,,59862,Finance,
Rakesh ,,,IT,4/27/2019
Sara  ,twenty, 50000 ,Sales ,
Meena123,twenty,33613,Sales,2021-13-11
Kevin ,twenty,70k,IT,11/11/2021
Sara,,unknown,Marketing,2021-13-15
Priya123,47,62377,Sales ,
Maya123,,70k,Finance ,2020-2-16
Sara,twenty,,HR,2021-13-3
Priya,twenty,70k,IT,11/25/2020
Priya ,, 50000 ,Sales ,
Kevin123,55,,Finance,2020-02-30
Rakesh,twenty,,HR,
Meena,twenty,70666,IT,2022-10-4
Ahmed,twenty,82153,IT ,
David,twenty,68017,Marketing,2020-10-21
John ,60,70k,Marketing ,
Sara ,twenty,88835,IT,2022-10-1
Kevin,,,Sales ,2021-13-16
Maya  ,,,HR,
Emily123,55,,Marketing ,2023-2-7
Sara  ,twenty,unknown,Sales,2020-10-14
David,twenty,65909,IT ,
Meena,30, 50000 ,IT ,2023-8-14
Emily,,unknown,Sales ,2020-10-15
Rakesh123,twenty,unknown,Sales,1/24/2016
Ahmed,,unknown,IT,2021-13-28
Emily  ,twenty,75638,Marketing ,2021-13-5
Sara ,40,70k,Sales ,
Meena ,twenty,unknown,Finance ,2024-4-17
Emily  ,twenty, 50000 ,IT ,2020-02-30
David,, 50000 ,Sales,2021-13-6
Emily ,,70k,IT,7/3/2014
